"ad_date","campaign_id","adset_id","spend","impressions","reach","clicks","leads","value","url_parameters","total"
2020-11-24,OL3wfqCd6TPOleVAcp2yew==,aS+Cy6Ne4nDFe/HabBjs0Q==,3700,5152,8025,268,5,4029,utm_source=facebook&utm_medium=cpc&utm_campaign=discounts,
2022-06-16,pf4uuqaAAFuHa7gEJnQVKg==,eyiLXOBiNEWjXJF37q0CeA==,29683,13671,13944,105,1,45218,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,
2022-05-14,wHoozjerL5GYr6gvvxnn1Q==,nVih5YGpAhIH5K82XEn1Ow==,3895,34392,21181,240,5,6810,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,
2021-07-03,Kek1yMtTa5BOTQQs2/uEPg==,"58dwph29+BypIq4CYOMnwQ==",12375,18073,34352,337,2,13613,utm_source=facebook&utm_medium=ppc&utm_campaign=discounts,
2021-12-13,+1TVQ0Ksk5C1R7k9dKSrpg==,kjdNzjgMLmHu9QXPlKaQHQ==,2688,2018,1850,41,0,3899,utm_source=facebook&utm_medium=ppc&utm_campaign=cheap,
2021-10-17,FgcthDK8dH5eIxOj5go3CA==,omGufzlW6LYDzVB3CvxDlQ==,5716,18160,47921,272,14,4586,utm_source=facebook&utm_medium=ppc&utm_campaign=you_might_like,
2021-06-25,"0NN3/Q28t0sw9rVduSJU5A==",Mw9J34JDdWqKTcf39+5t/g==,1482,18405,10520,228,3,2769,utm_source=facebook&utm_medium=ppc&utm_campaign=discounts,
2021-06-26,+1TVQ0Ksk5C1R7k9dKSrpg==,OWUAmZpRDMbW00J8WQh8UQ==,106,74,79,1,,152,utm_source=facebook&utm_medium=ppc&utm_campaign=cheap,
2021-08-04,FgcthDK8dH5eIxOj5go3CA==,LYK3a9gdirWrWX/VHV9Khw==,5935,5607,5962,176,,7528,utm_source=facebook&utm_medium=ppc&utm_campaign=you_might_like,
2021-10-11,FgcthDK8dH5eIxOj5go3CA==,omGufzlW6LYDzVB3CvxDlQ==,5847,9905,27968,97,5,5215,utm_source=facebook&utm_medium=ppc&utm_campaign=you_might_like,
2021-10-13,FgcthDK8dH5eIxOj5go3CA==,XYc+HmWqkmrlUI6Iyjdw4y==,23172,37279,64006,1247,12,38578,utm_source=facebook&utm_medium=ppc&utm_campaign=%D1%82%D1%80%D0%B5%D0%BD%D0%B4,
2022-06-06,wHoozjerL5GYr6gvvxnn1Q==,cvJAFtMbY+tSb2rC2LFnEQ==,7103,12117,18088,138,1,12360,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,
2021-06-20,FgcthDK8dH5eIxOj5go3CA==,omGufzlW6LYDzVB3CvxDlQ==,8263,95809,142256,676,22,9218,utm_source=facebook&utm_medium=ppc&utm_campaign=you_might_like,
2021-12-26,FgcthDK8dH5eIxOj5go3CA==,XYc+HmWqkmrlUI6Iyjdw4y==,10384,53026,91745,366,2,16461,utm_source=facebook&utm_medium=ppc&utm_campaign=%D1%82%D1%80%D0%B5%D0%BD%D0%B4,
2021-11-01,FgcthDK8dH5eIxOj5go3CA==,LYK3a9gdirWrWX/VHV9Khw==,843,8476,5672,153,2,954,utm_source=facebook&utm_medium=ppc&utm_campaign=you_might_like,
2021-01-19,wZXc8Eos3JfIQ0EbtDy/Hw==,aIdD3fJn3Gl6WFPXa6ZZyA==,64,211,420,0,0,102,utm_source=facebook&utm_medium=ppc&utm_campaign=recognition,
2021-08-13,wZXc8Eos3JfIQ0EbtDy/Hw==,gs2ZAmJsAr6xAmi1kBlVBw==,287,6717,2308,3,0,236,utm_source=facebook&utm_medium=ppc&utm_campaign=recognition,
2021-08-05,yaS9WL9gilMlc/ztuJKtdw==,TKWXp/AU/OvmicTsdwJxHg==,2608,9704,7533,50,1,4206,utm_source=facebook&utm_medium=ppc&utm_campaign=,
2021-07-14,yaS9WL9gilMlc/ztuJKtdw==,TcH4JjAaOH8sfVIQOYMuIg==,1149,4852,5967,30,1,1997,utm_source=facebook&utm_medium=ppc&utm_campaign=presents,
2022-01-02,FgcthDK8dH5eIxOj5go3CA==,XYc+HmWqkmrlUI6Iyjdw4y==,0,0,0,0,0,0,utm_source=facebook&utm_medium=ppc&utm_campaign=%D1%82%D1%80%D0%B5%D0%BD%D0%B4,
2021-08-28,"0NN3/Q28t0sw9rVduSJU5A==",Mw9J34JDdWqKTcf39+5t/g==,4080,8550,30315,306,4,7402,utm_source=facebook&utm_medium=ppc&utm_campaign=discounts,
2022-03-27,wHoozjerL5GYr6gvvxnn1Q==,"1KXJtup8qnApqauQIn/3ew==",1171,35796,21399,706,6,1317,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,
2021-12-16,+1TVQ0Ksk5C1R7k9dKSrpg==,kjdNzjgMLmHu9QXPlKaQHQ==,1644,1740,2321,4,0,2359,utm_source=facebook&utm_medium=ppc&utm_campaign=cheap,
2021-10-29,FgcthDK8dH5eIxOj5go3CA==,LYK3a9gdirWrWX/VHV9Khw==,2481,1723,1102,104,1,3361,utm_source=facebook&utm_medium=ppc&utm_campaign=you_might_like,
2022-06-01,wHoozjerL5GYr6gvvxnn1Q==,cvJAFtMbY+tSb2rC2LFnEQ==,3531,4212,16738,22,1,3885,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,
2021-09-15,wZXc8Eos3JfIQ0EbtDy/Hw==,gs2ZAmJsAr6xAmi1kBlVBw==,649,17004,23812,20,0,652,utm_source=facebook&utm_medium=ppc&utm_campaign=recognition,
2021-11-21,h4hWTQf6icvBNjHfA+zKhw==,tx5Zo5YqSvAumn3DuI7T6g==,1436,2390,1644,23,0,2793,utm_source=facebook&utm_medium=cpc&utm_campaign=%D1%82%D1%80%D0%B5%D0%BD%D0%B4,
2021-06-08,"0NN3/Q28t0sw9rVduSJU5A==",Mw9J34JDdWqKTcf39+5t/g==,1463,18685,8688,75,1,1871,utm_source=facebook&utm_medium=ppc&utm_campaign=discounts,
2021-06-02,FgcthDK8dH5eIxOj5go3CA==,LYK3a9gdirWrWX/VHV9Khw==,23339,50106,39349,170,16,21374,utm_source=facebook&utm_medium=ppc&utm_campaign=you_might_like,
2021-03-09,wZXc8Eos3JfIQ0EbtDy/Hw==,gs2ZAmJsAr6xAmi1kBlVBw==,510,10350,24548,22,0,560,utm_source=facebook&utm_medium=ppc&utm_campaign=recognition,
2021-11-25,FgcthDK8dH5eIxOj5go3CA==,XYc+HmWqkmrlUI6Iyjdw4y==,13627,37748,17219,681,3,18112,utm_source=facebook&utm_medium=ppc&utm_campaign=%D1%82%D1%80%D0%B5%D0%BD%D0%B4,
2021-05-15,"0NN3/Q28t0sw9rVduSJU5A==",Mw9J34JDdWqKTcf39+5t/g==,2284,10127,4653,41,0,3394,utm_source=facebook&utm_medium=ppc&utm_campaign=discounts,
2022-06-30,wHoozjerL5GYr6gvvxnn1Q==,mMVUJgUJWaZ7irsgOzCOGw==,2349,24851,11809,121,0,3297,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,
2021-05-12,Kek1yMtTa5BOTQQs2/uEPg==,"58dwph29+BypIq4CYOMnwQ==",16978,36296,13179,157,9,15421,utm_source=facebook&utm_medium=ppc&utm_campaign=discounts,
2021-11-20,FgcthDK8dH5eIxOj5go3CA==,XYc+HmWqkmrlUI6Iyjdw4y==,20421,66742,91686,1032,15,20973,utm_source=facebook&utm_medium=ppc&utm_campaign=%D1%82%D1%80%D0%B5%D0%BD%D0%B4,
2021-08-23,+1TVQ0Ksk5C1R7k9dKSrpg==,OWUAmZpRDMbW00J8WQh8UQ==,1856,5812,2144,8,0,2402,utm_source=facebook&utm_medium=ppc&utm_campaign=cheap,
2022-04-04,pf4uuqaAAFuHa7gEJnQVKg==,UIqcMN1yaehmJD9QlXFmqg==,624,718,291,14,0,916,utm_source=facebook&utm_medium=ppc&utm_campaign=top_gear,
2022-04-19,pf4uuqaAAFuHa7gEJnQVKg==,eyiLXOBiNEWjXJF37q0CeA==,27265,10066,36484,137,1,25038,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,
2021-09-15,+1TVQ0Ksk5C1R7k9dKSrpg==,OWUAmZpRDMbW00J8WQh8UQ==,1132,1621,1344,21,0,1506,utm_source=facebook&utm_medium=ppc&utm_campaign=cheap,
2021-05-06,Kek1yMtTa5BOTQQs2/uEPg==,"58dwph29+BypIq4CYOMnwQ==",8864,48172,22421,78,9,14437,utm_source=facebook&utm_medium=ppc&utm_campaign=discounts,
2021-04-24,Kek1yMtTa5BOTQQs2/uEPg==,"58dwph29+BypIq4CYOMnwQ==",7372,42140,18776,120,6,6511,utm_source=facebook&utm_medium=ppc&utm_campaign=discounts,
2021-05-02,Kek1yMtTa5BOTQQs2/uEPg==,"58dwph29+BypIq4CYOMnwQ==",3104,69902,38153,289,4,3070,utm_source=facebook&utm_medium=ppc&utm_campaign=discounts,
2021-10-26,FgcthDK8dH5eIxOj5go3CA==,omGufzlW6LYDzVB3CvxDlQ==,8557,49818,7789,336,0,14085,utm_source=facebook&utm_medium=ppc&utm_campaign=you_might_like,
2021-10-21,FgcthDK8dH5eIxOj5go3CA==,omGufzlW6LYDzVB3CvxDlQ==,15186,30582,25375,380,14,22212,utm_source=facebook&utm_medium=ppc&utm_campaign=you_might_like,
2022-06-01,pf4uuqaAAFuHa7gEJnQVKg==,eyiLXOBiNEWjXJF37q0CeA==,14920,33127,39482,72,4,13825,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,
2020-12-25,wZXc8Eos3JfIQ0EbtDy/Hw==,aIdD3fJn3Gl6WFPXa6ZZyA==,1099,5520,8223,6,0,1691,utm_source=facebook&utm_medium=ppc&utm_campaign=recognition,
2022-10-28,pf4uuqaAAFuHa7gEJnQVKg==,eyiLXOBiNEWjXJF37q0CeA==,63033,5522,8665,121,3,59000,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,
2021-04-20,Kek1yMtTa5BOTQQs2/uEPg==,"58dwph29+BypIq4CYOMnwQ==",17115,60798,17491,522,2,14059,utm_source=facebook&utm_medium=ppc&utm_campaign=discounts,
2022-05-28,pf4uuqaAAFuHa7gEJnQVKg==,eyiLXOBiNEWjXJF37q0CeA==,22726,15990,10025,107,4,22643,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,
2021-08-06,+1TVQ0Ksk5C1R7k9dKSrpg==,jKVwd+J2wdeRAmaZ/ibNHA==,5823,6744,9726,129,6,5771,utm_source=facebook&utm_medium=ppc&utm_campaign=hobby,
2021-10-02,"0c40WP42N3VsgjlJdjNGXA==",dfx+slA2Xx6Uvb5jbH/Xog==,1048,7784,6006,131,0,1325,utm_source=facebook&utm_medium=ppc&utm_campaign=,
2021-09-27,"0NN3/Q28t0sw9rVduSJU5A==",Mw9J34JDdWqKTcf39+5t/g==,10888,43353,29742,208,2,22071,utm_source=facebook&utm_medium=ppc&utm_campaign=discounts,
2021-10-14,Kek1yMtTa5BOTQQs2/uEPg==,"58dwph29+BypIq4CYOMnwQ==",17863,35283,22041,216,8,19666,utm_source=facebook&utm_medium=ppc&utm_campaign=discounts,
2021-03-12,wZXc8Eos3JfIQ0EbtDy/Hw==,gs2ZAmJsAr6xAmi1kBlVBw==,832,15034,13549,1,0,872,utm_source=facebook&utm_medium=ppc&utm_campaign=recognition,
2022-05-21,wHoozjerL5GYr6gvvxnn1Q==,nVih5YGpAhIH5K82XEn1Ow==,3101,22652,27452,65,1,3067,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,
2022-04-26,pf4uuqaAAFuHa7gEJnQVKg==,Zq23ozPRs6SFhGqG7C28Sw==,0,0,0,0,0,0,utm_source=facebook&utm_medium=ppc&utm_campaign=twitch,
,,,,,,,,,,26.268731828274248
2022-07-03,wHoozjerL5GYr6gvvxnn1Q==,cvJAFtMbY+tSb2rC2LFnEQ==,0,0,0,0,0,0,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,
2022-02-09,h4hWTQf6icvBNjHfA+zKhw==,MVc+HmWqkmrlUI6Iyjdw4w==,1425,16773,9630,63,1,3305,utm_source=facebook&utm_medium=ppc&utm_campaign=%D1%82%D1%80%D0%B5%D0%BD%D0%B4,
2021-12-16,+1TVQ0Ksk5C1R7k9dKSrpg==,jKVwd+J2wdeRAmaZ/ibNHA==,2763,6489,2495,21,1,4556,utm_source=facebook&utm_medium=ppc&utm_campaign=hobby,
2022-04-03,wHoozjerL5GYr6gvvxnn1Q==,nVih5YGpAhIH5K82XEn1Ow==,2749,54823,18537,449,6,2571,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,
2022-01-03,+1TVQ0Ksk5C1R7k9dKSrpg==,kjdNzjgMLmHu9QXPlKaQHQ==,0,0,0,0,0,0,utm_source=facebook&utm_medium=ppc&utm_campaign=cheap,
2021-08-17,yaS9WL9gilMlc/ztuJKtdw==,TKWXp/AU/OvmicTsdwJxHg==,5200,9078,4974,290,4,6196,utm_source=facebook&utm_medium=ppc&utm_campaign=,
2021-05-20,yaS9WL9gilMlc/ztuJKtdw==,TKWXp/AU/OvmicTsdwJxHg==,3376,10265,1820,50,1,4670,utm_source=facebook&utm_medium=ppc&utm_campaign=,
2022-07-02,wHoozjerL5GYr6gvvxnn1Q==,gAoh0JEq+LNsLjueG/FkLg==,0,0,0,0,0,0,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,
2021-10-26,FgcthDK8dH5eIxOj5go3CA==,XYc+HmWqkmrlUI6Iyjdw4y==,6066,44025,46327,294,9,4695,utm_source=facebook&utm_medium=ppc&utm_campaign=%D1%82%D1%80%D0%B5%D0%BD%D0%B4,
2021-08-14,+1TVQ0Ksk5C1R7k9dKSrpg==,jKVwd+J2wdeRAmaZ/ibNHA==,7613,32623,16128,123,2,9571,utm_source=facebook&utm_medium=ppc&utm_campaign=hobby,
2022-06-12,wHoozjerL5GYr6gvvxnn1Q==,mMVUJgUJWaZ7irsgOzCOGw==,3757,12462,15321,30,1,5199,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,
2021-07-26,+1TVQ0Ksk5C1R7k9dKSrpg==,jKVwd+J2wdeRAmaZ/ibNHA==,7967,5925,13915,153,4,6537,utm_source=facebook&utm_medium=ppc&utm_campaign=hobby,
2021-01-13,wZXc8Eos3JfIQ0EbtDy/Hw==,aIdD3fJn3Gl6WFPXa6ZZyA==,189,2693,928,1,0,220,utm_source=facebook&utm_medium=ppc&utm_campaign=recognition,
2021-10-21,Kek1yMtTa5BOTQQs2/uEPg==,"58dwph29+BypIq4CYOMnwQ==",0,0,0,0,0,0,utm_source=facebook&utm_medium=ppc&utm_campaign=discounts,
2021-07-13,yaS9WL9gilMlc/ztuJKtdw==,TKWXp/AU/OvmicTsdwJxHg==,3770,8788,9019,80,3,6467,utm_source=facebook&utm_medium=ppc&utm_campaign=,
2021-07-03,"0NN3/Q28t0sw9rVduSJU5A==",Mw9J34JDdWqKTcf39+5t/g==,2316,14213,20403,224,3,3406,utm_source=facebook&utm_medium=ppc&utm_campaign=discounts,
2021-08-10,FgcthDK8dH5eIxOj5go3CA==,omGufzlW6LYDzVB3CvxDlQ==,25167,117116,82598,711,29,27945,utm_source=facebook&utm_medium=ppc&utm_campaign=you_might_like,
2022-03-19,pf4uuqaAAFuHa7gEJnQVKg==,+/ujgC+9ZiLznb2LxP6ihw==,9407,1731,2753,33,1,12531,utm_source=facebook&utm_medium=ppc&utm_campaign=twitch,
2021-06-11,"0NN3/Q28t0sw9rVduSJU5A==",Mw9J34JDdWqKTcf39+5t/g==,2665,10421,8187,124,2,4651,utm_source=facebook&utm_medium=ppc&utm_campaign=discounts,
2021-07-01,"0c40WP42N3VsgjlJdjNGXA==",dfx+slA2Xx6Uvb5jbH/Xog==,1673,15442,14036,226,6,2438,utm_source=facebook&utm_medium=ppc&utm_campaign=,
2021-02-07,OL3wfqCd6TPOleVAcp2yew==,aS+Cy6Ne4nDFe/HabBjs0Q==,789,3931,7914,73,0,898,utm_source=facebook&utm_medium=cpc&utm_campaign=discounts,
2021-10-03,FgcthDK8dH5eIxOj5go3CA==,XYc+HmWqkmrlUI6Iyjdw4y==,10415,48498,25655,783,2,11087,utm_source=facebook&utm_medium=ppc&utm_campaign=%D1%82%D1%80%D0%B5%D0%BD%D0%B4,
2022-05-29,pf4uuqaAAFuHa7gEJnQVKg==,eyiLXOBiNEWjXJF37q0CeA==,49416,23002,11024,40,1,46402,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,
2021-06-23,+1TVQ0Ksk5C1R7k9dKSrpg==,OWUAmZpRDMbW00J8WQh8UQ==,716,1242,1649,30,1,995,utm_source=facebook&utm_medium=ppc&utm_campaign=cheap,
2021-11-30,FgcthDK8dH5eIxOj5go3CA==,omGufzlW6LYDzVB3CvxDlQ==,7255,23281,24757,390,9,12359,utm_source=facebook&utm_medium=ppc&utm_campaign=you_might_like,
2021-12-19,+1TVQ0Ksk5C1R7k9dKSrpg==,jKVwd+J2wdeRAmaZ/ibNHA==,2882,6649,1572,7,1,2616,utm_source=facebook&utm_medium=ppc&utm_campaign=hobby,
2021-11-07,+1TVQ0Ksk5C1R7k9dKSrpg==,OWUAmZpRDMbW00J8WQh8UQ==,1387,2597,3779,36,1,2229,utm_source=facebook&utm_medium=ppc&utm_campaign=cheap,
2021-10-04,"0NN3/Q28t0sw9rVduSJU5A==",Mw9J34JDdWqKTcf39+5t/g==,1535,25850,33385,227,2,3234,utm_source=facebook&utm_medium=ppc&utm_campaign=discounts,
2020-12-27,wZXc8Eos3JfIQ0EbtDy/Hw==,ZW79Y4iAC9tYUZ0rv2yQdA==,406,1683,2615,9,0,431,utm_source=facebook&utm_medium=ppc&utm_campaign=recognition,
2021-06-19,+1TVQ0Ksk5C1R7k9dKSrpg==,QBLf/5REFjL80pmdlrLGCw==,8339,4644,7487,48,1,12688,"",
2021-07-07,+1TVQ0Ksk5C1R7k9dKSrpg==,jKVwd+J2wdeRAmaZ/ibNHA==,2410,21299,9601,130,1,2458,utm_source=facebook&utm_medium=ppc&utm_campaign=hobby,
2021-02-13,OL3wfqCd6TPOleVAcp2yew==,aS+Cy6Ne4nDFe/HabBjs0Q==,2884,7366,7156,54,0,3243,utm_source=facebook&utm_medium=cpc&utm_campaign=discounts,
2021-07-29,FgcthDK8dH5eIxOj5go3CA==,LYK3a9gdirWrWX/VHV9Khw==,4292,4732,4229,62,3,3906,utm_source=facebook&utm_medium=ppc&utm_campaign=you_might_like,
2022-06-23,wHoozjerL5GYr6gvvxnn1Q==,mMVUJgUJWaZ7irsgOzCOGw==,4148,20908,21839,59,1,4098,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,
2021-01-27,wZXc8Eos3JfIQ0EbtDy/Hw==,gs2ZAmJsAr6xAmi1kBlVBw==,168,7306,1499,1,0,210,utm_source=facebook&utm_medium=ppc&utm_campaign=recognition,
2021-01-01,wZXc8Eos3JfIQ0EbtDy/Hw==,aIdD3fJn3Gl6WFPXa6ZZyA==,39,353,406,0,0,59,utm_source=facebook&utm_medium=ppc&utm_campaign=recognition,
2021-12-26,FgcthDK8dH5eIxOj5go3CA==,omGufzlW6LYDzVB3CvxDlQ==,3480,6910,12371,32,1,5477,utm_source=facebook&utm_medium=ppc&utm_campaign=you_might_like,
2021-11-13,h4hWTQf6icvBNjHfA+zKhw==,tx5Zo5YqSvAumn3DuI7T6g==,2120,9354,2992,77,0,4790,utm_source=facebook&utm_medium=cpc&utm_campaign=%D1%82%D1%80%D0%B5%D0%BD%D0%B4,
