"ad_date","campaign_name","adset_name","spend","impressions","reach","clicks","leads","value","url_parameters"
2021-06-09,Electronics,Narrow,774,1177,2655,58,2,1134,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-05-25,New items,Development,1082,9237,9209,124,3,1709,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2021-08-23,New items,Development,6758,13792,14006,285,6,10888,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2021-09-02,Wholesale,Wide,1566,3217,1130,13,1,1429,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2022-05-26,Hobbies,Abstract,983,12683,17863,26,1,1544,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2022-04-10,Hobbies,Tinkering,1649,38973,41038,169,10,1174,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2021-09-19,Wholesale,Wide,230,199,153,4,0,339,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2022-04-01,Expansion,Pretty,4973,6393,2539,151,4,3460,utm_source=google&utm_mediun=cpc&utm_campaign=twitch
2021-06-03,Electronics,Narrow,644,4648,1915,80,2,619,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-05-16,Promos,Parents,1359,11602,6059,71,0,1722,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2022-04-01,Hobbies,Tinkering,906,33026,6788,237,5,1168,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2022-06-22,Expansion,Products,26767,10213,14567,22,6,39598,utm_source=google&utm_mediun=cpc&utm_campaign=upgrade
2022-04-20,Expansion,Streaming,21837,28640,8818,198,4,19775,utm_source=google&utm_mediun=cpc&utm_campaign=twitch
2021-06-30,New items,Development,4054,14051,10850,154,2,2998,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2022-04-11,Hobbies,Outdoors,2026,69164,43576,601,3,1470,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2021-05-17,New items,Development,3654,5858,10950,26,2,4686,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2021-10-14,Wholesale,Interests,1404,2287,1396,6,0,1766,utm_source=google&utm_mediun=cpc&utm_campaign=hobby
2021-07-19,Wholesale,Wide,5019,19936,18399,40,3,4121,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-08-12,New items,Development,2425,2948,5164,72,1,3173,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2021-10-05,Crazy discounts,Improvement,356,3497,3516,87,3,436,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2021-01-23,Brand,Improved,235,541,629,0,0,176,utm_source=google&utm_mediun=cpc&utm_campaign=recognition
2022-03-28,Expansion,Top gear,1480,182,181,5,0,981,utm_source=google&utm_mediun=cpc&utm_campaign=top_gear
2021-01-22,Brand,Improved,58,684,493,0,0,45,utm_source=google&utm_mediun=cpc&utm_campaign=recognition
2021-06-29,Wholesale,Starting up,0,6,6,0,0,0,utm_source=google&utm_mediun=cpc&utm_campaign=startup
2022-06-30,Hobbies,Specific,3014,21246,8849,28,3,4397,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2021-07-09,New items,Development,2797,10961,1259,59,2,2519,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2021-09-13,Wholesale,Interests,1173,1729,5238,43,0,1322,utm_source=google&utm_mediun=cpc&utm_campaign=hobby
2022-06-01,Hobbies,Outdoors,0,0,0,0,0,0,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2021-08-16,Wholesale,Wide,1772,4997,7241,46,1,1989,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-06-01,Promos,Parents,1346,2186,12943,66,1,1199,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-10-21,Wholesale,Wide,374,921,657,13,1,546,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2022-06-19,Hobbies,Unlimited,2676,20567,15253,62,2,3412,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2021-10-05,Wholesale,Interests,612,5711,2743,31,1,610,utm_source=google&utm_mediun=cpc&utm_campaign=hobby
2021-10-16,Wholesale,Clean,2251,2392,4341,44,2,1835,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2022-04-10,Hobbies,Slow,2486,55116,34122,110,5,2469,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2022-04-05,Hobbies,Slow,1118,31538,7957,176,0,1085,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2022-04-22,Hobbies,Tinkering,7254,70275,21841,443,11,11187,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2022-05-03,Expansion,Products,17853,7223,28629,54,3,28456,utm_source=google&utm_mediun=cpc&utm_campaign=upgrade
2021-11-11,Wholesale,Wide,625,2075,2979,8,0,614,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-09-28,Electronics,Narrow,13999,41281,14652,181,2,22799,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2022-04-29,Expansion,Products,34204,14399,12417,125,4,41551,utm_source=google&utm_mediun=cpc&utm_campaign=upgrade
2021-06-10,Promos,Parents,1598,14188,11359,103,1,1879,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2022-04-04,Hobbies,Tinkering,1264,51799,11184,96,9,1572,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2021-11-08,Wholesale,Wide,1476,5296,2254,49,1,1835,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-07-20,New items,Development,3159,18611,15314,164,2,3846,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2022-04-27,Hobbies,Tinkering,8248,41972,68912,319,5,11800,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2021-06-26,Wholesale,Wide,122,27,48,2,0,95,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-07-01,Promos,Parents,1729,22873,2509,223,2,2090,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2022-06-28,Expansion,Products,46784,2943,3822,16,1,39897,utm_source=google&utm_mediun=cpc&utm_campaign=upgrade
2022-06-05,Expansion,Products,31797,5872,4243,103,0,22397,utm_source=google&utm_mediun=cpc&utm_campaign=upgrade
2022-05-12,Hobbies,Tinkering,4699,29614,26818,207,3,5475,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2021-08-28,Electronics,Narrow,30781,69023,21290,616,7,22729,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-08-09,Wholesale,Wide,718,1961,852,17,0,615,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-10-03,Crazy discounts,Improvement,1240,8292,7833,78,2,1579,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2021-09-06,Wholesale,Wide,918,2641,2298,16,0,874,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2022-07-03,Expansion,Products,39514,26865,28214,84,2,28047,utm_source=google&utm_mediun=cpc&utm_campaign=upgrade
2022-05-04,Expansion,Products,7923,13536,5779,73,6,12637,utm_source=google&utm_mediun=cpc&utm_campaign=upgrade
2021-07-20,Promos,Parents,3818,9257,4021,50,0,5933,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2022-03-30,Hobbies,Slow,605,22541,26286,421,10,411,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2021-09-11,Promos,Parents,6742,20799,15906,206,1,9038,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2022-06-21,Hobbies,Unlimited,2034,10413,19114,125,3,2362,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2022-04-01,Hobbies,Outdoors,754,26061,7205,281,7,951,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2022-04-15,Hobbies,Slow,2628,8711,15118,104,4,3414,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2021-11-27,Wholesale,Wide,938,2289,2600,12,0,1532,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-12-24,Wholesale,Interests,700,1469,1016,13,1,833,utm_source=google&utm_mediun=cpc&utm_campaign=hobby
2021-06-04,Electronics,Narrow,348,8395,8133,42,0,312,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2022-04-07,Expansion,Streaming,69111,29506,23857,282,1,65707,utm_source=google&utm_mediun=cpc&utm_campaign=twitch
2022-05-20,Hobbies,Slow,2562,9738,9641,143,5,2696,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2020-12-16,Discounts,True power,2226,1695,2875,248,0,2653,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-05-24,Promos,Parents,1713,5886,11690,57,1,2189,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-09-21,Wholesale,Clean,1854,6607,7245,38,1,1450,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-10-04,Crazy discounts,Improvement,204,6243,2590,62,2,208,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2022-04-12,Hobbies,Outdoors,759,45553,13516,291,3,1112,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2022-03-28,Expansion,Products,7463,8091,13407,121,2,12070,utm_source=google&utm_mediun=cpc&utm_campaign=upgrade
2021-09-21,Wholesale,Interests,3440,4191,6849,25,1,5185,utm_source=google&utm_mediun=cpc&utm_campaign=hobby
2022-05-17,Hobbies,Slow,5408,8209,34808,136,5,5590,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2021-01-17,Discounts,True power,7553,14118,36040,377,11,11109,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-02-03,Discounts,True power,817,3434,1577,18,2,1049,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2022-05-02,Hobbies,Outdoors,7108,64848,32034,204,9,5621,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2022-05-23,Hobbies,Outdoors,6476,40041,10120,87,2,8528,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2021-05-21,New items,Development,467,4924,5150,113,2,623,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2021-06-14,New items,Development,3973,2915,5395,36,1,2926,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2021-09-29,Wholesale,Wide,23,17,49,0,0,16,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-08-20,Electronics,Narrow,36897,45568,32448,126,7,47507,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-08-03,Crazy discounts,Improvement,1617,17519,22746,138,1,1085,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2022-05-12,Hobbies,Slow,2674,19162,22683,135,0,3791,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2022-06-28,Hobbies,Tinkering,2738,35639,43503,92,3,3719,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2021-06-05,Electronics,Narrow,1437,5463,1394,11,1,1617,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-12-07,Wholesale,Wide,1910,3654,2250,17,0,1568,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-08-26,Wholesale,Interests,3671,22015,21785,204,7,5000,utm_source=google&utm_mediun=cpc&utm_campaign=hobby
2022-05-25,Expansion,Products,10993,36779,31591,67,2,11986,utm_source=google&utm_mediun=cpc&utm_campaign=upgrade
2021-06-23,New items,Development,1652,4351,2486,91,1,2265,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2021-01-16,Discounts,True power,3055,10579,67474,249,15,4486,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2022-05-20,Hobbies,Abstract,259,6176,7197,94,2,362,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2021-11-27,Wholesale,Clean,719,4264,627,19,1,493,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-10-30,Wholesale,Wide,147,391,366,7,0,184,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-11-24,Wholesale,Clean,2077,4846,4482,20,1,3058,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-11-10,Wholesale,Interests,570,1828,908,12,0,682,utm_source=google&utm_mediun=cpc&utm_campaign=hobby
2022-04-26,Expansion,Streaming,0,0,0,0,0,0,utm_source=google&utm_mediun=cpc&utm_campaign=twitch
2021-10-16,Wholesale,Interests,1421,2018,2423,27,1,1014,utm_source=google&utm_mediun=cpc&utm_campaign=hobby
2021-07-10,Promos,Parents,7934,7595,16006,92,2,7932,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-12-29,Wholesale,Clean,500,3047,1811,3,0,457,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-06-27,Wholesale,Interests,2523,3535,3554,81,4,2748,utm_source=google&utm_mediun=cpc&utm_campaign=hobby
2021-10-25,Wholesale,Clean,1025,3969,4166,24,1,1302,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-05-07,Promos,Parents,910,12432,2154,15,1,1442,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2022-04-05,Expansion,Streaming,21643,31196,24056,118,11,22354,utm_source=google&utm_mediun=cpc&utm_campaign=twitch
2021-10-27,Wholesale,Clean,401,2019,4412,12,1,295,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2022-06-20,Hobbies,Tinkering,3646,53636,21856,43,1,5365,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2022-03-22,Expansion,Products,11457,3581,9094,83,1,12249,utm_source=google&utm_mediun=cpc&utm_campaign=upgrade
2021-10-04,Wholesale,Wide,27,15,19,0,0,42,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-05-20,Electronics,Narrow,2503,2014,2222,28,0,2713,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-12-19,Wholesale,Wide,788,1283,4254,2,1,940,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-10-06,Wholesale,Clean,7241,10884,6128,27,2,6264,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-12-31,Wholesale,Interests,430,1986,1964,4,0,652,utm_source=google&utm_mediun=cpc&utm_campaign=hobby
2021-08-12,Wholesale,Wide,1473,1855,2355,18,1,1550,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2022-06-22,Hobbies,Unlimited,1063,15560,13865,88,1,1203,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2022-04-29,Hobbies,Outdoors,4064,24941,39504,112,6,5652,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2022-06-26,Expansion,Products,10176,6929,2705,79,3,16705,utm_source=google&utm_mediun=cpc&utm_campaign=upgrade
2021-07-13,Wholesale,Wide,2098,10523,7422,41,2,1758,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-01-13,Discounts,True power,10112,44611,57080,947,17,13833,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2022-04-19,Hobbies,Slow,486,8829,1784,25,1,563,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2021-08-13,Wholesale,Interests,3269,5618,25697,105,8,2439,utm_source=google&utm_mediun=cpc&utm_campaign=hobby
2021-09-23,Wholesale,Wide,71,511,264,1,1,99,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-04-22,Electronics,Narrow,3037,4045,22306,403,1,4868,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-06-10,New items,Presents,1056,2184,3112,122,2,1177,utm_source=google&utm_mediun=cpc&utm_campaign=presents
2022-06-29,Hobbies,Tinkering,1734,43376,5563,192,1,2114,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2021-07-19,New items,Development,5138,10696,15838,190,7,7440,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2022-05-06,Hobbies,Tinkering,6823,37513,35455,407,4,7188,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2022-01-01,Wholesale,Interests,0,0,0,0,0,0,utm_source=google&utm_mediun=cpc&utm_campaign=hobby
2021-10-15,Wholesale,Clean,786,8537,9063,25,2,815,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-12-25,Wholesale,Wide,4059,4409,6340,6,1,5585,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
